Date,Demand
01.01.2021,244.22
02.01.2021,239.51
03.01.2021,242.71
04.01.2021,257.57
05.01.2021,334.79
06.01.2021,271.2
07.01.2021,281.61
08.01.2021,259.39
09.01.2021,250.8
10.01.2021,239.77
11.01.2021,234.59
12.01.2021,266.21
13.01.2021,270.87
14.01.2021,270.52
15.01.2021,254.81
16.01.2021,252.84
17.01.2021,247.56
18.01.2021,246.39
19.01.2021,300.8
20.01.2021,313.33
21.01.2021,341.91
22.01.2021,350.51
23.01.2021,351.68
24.01.2021,248.52
25.01.2021,250.33
26.01.2021,254.29
27.01.2021,259.39
28.01.2021,244.62
29.01.2021,243.58
30.01.2021,268.41
31.01.2021,248.07
01.02.2021,243.21
02.02.2021,287.91
03.02.2021,325.83
04.02.2021,373.52
05.02.2021,314.72
06.02.2021,267.32
07.02.2021,229.62
08.02.2021,231.09
09.02.2021,245.39
10.02.2021,246.49
11.02.2021,276.54
12.02.2021,282.81
13.02.2021,273.95
14.02.2021,238.39
15.02.2021,228.83
16.02.2021,241.42
17.02.2021,252.49
18.02.2021,234.78
19.02.2021,223.69
20.02.2021,223.12
21.02.2021,223.42
22.02.2021,219.88
23.02.2021,220.41
24.02.2021,224.34
25.02.2021,229.9
26.02.2021,226.9
27.02.2021,220.5
28.02.2021,217.38
01.03.2021,196.28
02.03.2021,217.75
03.03.2021,221.69
04.03.2021,229.22
05.03.2021,247.32
06.03.2021,225.95
07.03.2021,193.14
08.03.2021,182.84
09.03.2021,217.44
10.03.2021,210.95
11.03.2021,225.43
12.03.2021,237.03
13.03.2021,221.88
14.03.2021,209.78
15.03.2021,208.63
16.03.2021,213.15
17.03.2021,218.44
18.03.2021,234.83
19.03.2021,234.03
20.03.2021,227.94
21.03.2021,210.61
22.03.2021,211.46
23.03.2021,217.52
24.03.2021,245.08
25.03.2021,236.56
26.03.2021,222.73
27.03.2021,228.95
28.03.2021,211.48
29.03.2021,201.57
30.03.2021,213.14
31.03.2021,215.97
01.04.2021,218.43
02.04.2021,218.93
03.04.2021,214.88
04.04.2021,222.14
05.04.2021,219.19
06.04.2021,220.63
07.04.2021,226.5
08.04.2021,225.11
09.04.2021,232.26
10.04.2021,229.03
11.04.2021,212.81
12.04.2021,187.94
13.04.2021,206.45
14.04.2021,226.18
15.04.2021,218.54
16.04.2021,214.37
17.04.2021,217.41
18.04.2021,202.96
19.04.2021,199.43
20.04.2021,218.4
21.04.2021,210.46
22.04.2021,207.31
23.04.2021,187.93
24.04.2021,212.55
25.04.2021,196.52
26.04.2021,190.82
27.04.2021,250.73
28.04.2021,247.28
29.04.2021,222.34
30.04.2021,229.2
01.05.2021,208.83
02.05.2021,205.14
03.05.2021,203.19
04.05.2021,231.7
05.05.2021,217.8
06.05.2021,206.35
07.05.2021,197.54
08.05.2021,204.64
09.05.2021,168.55
10.05.2021,157.82
11.05.2021,194.06
12.05.2021,196.25
13.05.2021,173.4
14.05.2021,158.01
15.05.2021,184.19
16.05.2021,167.33
17.05.2021,118.42
18.05.2021,220.19
19.05.2021,210.05
20.05.2021,234.89
21.05.2021,243.85
22.05.2021,194.29
23.05.2021,153.34
24.05.2021,165.87
25.05.2021,186.77
26.05.2021,205.08
27.05.2021,190.04
28.05.2021,192.79
29.05.2021,180.06
30.05.2021,142.86
31.05.2021,115.73
01.06.2021,166.77
02.06.2021,141.83
03.06.2021,137.1
04.06.2021,163.73
05.06.2021,150.65
06.06.2021,89.19
07.06.2021,74.05
08.06.2021,156
09.06.2021,164.19
10.06.2021,152.42
11.06.2021,143.51
12.06.2021,132.57
13.06.2021,86.68
14.06.2021,70.08
15.06.2021,111.08
16.06.2021,126.18
17.06.2021,125.96
18.06.2021,96.97
19.06.2021,92.86
20.06.2021,82.03
21.06.2021,100.33
22.06.2021,151.69
23.06.2021,143.18
24.06.2021,103.58
25.06.2021,115.47
26.06.2021,151
27.06.2021,133.8
28.06.2021,131.91
29.06.2021,149.61
30.06.2021,145.5
01.07.2021,140.12
02.07.2021,102.75
03.07.2021,97.77
04.07.2021,87.58
05.07.2021,100.22
06.07.2021,98.04
07.07.2021,96.33
08.07.2021,79.42
09.07.2021,56.56
10.07.2021,57.19
11.07.2021,80.89
12.07.2021,75.56
13.07.2021,103.19
14.07.2021,107.92
15.07.2021,92.21
16.07.2021,110.45
17.07.2021,91.64
18.07.2021,61.63
19.07.2021,81.66
20.07.2021,93.64
21.07.2021,82.88
22.07.2021,92.21
23.07.2021,86.54
24.07.2021,92.11
25.07.2021,63.57
26.07.2021,35.02
27.07.2021,87.06
28.07.2021,89.37
29.07.2021,71.86
30.07.2021,67.28
31.07.2021,57.47
01.08.2021,60.32
02.08.2021,67.74
03.08.2021,83.35
04.08.2021,77.19
05.08.2021,81.33
06.08.2021,77.88
07.08.2021,74.91
08.08.2021,57.32
09.08.2021,71.05
10.08.2021,105.67
11.08.2021,94.4
12.08.2021,105.68
13.08.2021,115.32
14.08.2021,98.2
15.08.2021,100.21
16.08.2021,101.92
17.08.2021,108.7
18.08.2021,118.01
19.08.2021,162.1
20.08.2021,196.18
21.08.2021,184.35
22.08.2021,161.63
23.08.2021,150.84
24.08.2021,187.1
25.08.2021,170.86
26.08.2021,172.14
27.08.2021,152.39
28.08.2021,151.34
29.08.2021,129.96
30.08.2021,141.94
31.08.2021,167.84
01.09.2021,153.54
02.09.2021,150.62
03.09.2021,165.62
04.09.2021,179.12
05.09.2021,139.94
06.09.2021,102.02
07.09.2021,190.39
08.09.2021,199.21
09.09.2021,199.21
10.09.2021,200.97
11.09.2021,184.49
12.09.2021,151.8
13.09.2021,157.52
14.09.2021,177.79
15.09.2021,172.11
16.09.2021,188.15
17.09.2021,173.18
18.09.2021,135.08
19.09.2021,122.08
20.09.2021,137.32
21.09.2021,192.44
22.09.2021,171
23.09.2021,174.5
24.09.2021,153.98
25.09.2021,144.74
26.09.2021,138.77
27.09.2021,140.47
28.09.2021,169.48
29.09.2021,158.5
30.09.2021,144.48
01.10.2021,128.59
02.10.2021,111.02
03.10.2021,120.28
04.10.2021,127.75
05.10.2021,151.8
06.10.2021,130
07.10.2021,146.58
08.10.2021,182.92
09.10.2021,200.9
10.10.2021,190.36
11.10.2021,185.73
12.10.2021,212.05
13.10.2021,210.37
14.10.2021,215.02
15.10.2021,218.19
16.10.2021,220.7
17.10.2021,214.35
18.10.2021,218.99
19.10.2021,281.65
20.10.2021,279.93
21.10.2021,232.49
22.10.2021,220.77
23.10.2021,221.61
24.10.2021,220.55
25.10.2021,213.2
26.10.2021,246.12
27.10.2021,247.31
28.10.2021,247.8
29.10.2021,277.24
30.10.2021,256.44
31.10.2021,233.88
01.11.2021,229.01
02.11.2021,237.36
03.11.2021,241.4
04.11.2021,241.26
05.11.2021,243.06
06.11.2021,239.85
07.11.2021,214.66
08.11.2021,209.09
09.11.2021,213.49
10.11.2021,211.13
11.11.2021,225.81
12.11.2021,224.23
13.11.2021,216.82
14.11.2021,193.33
15.11.2021,211.88
16.11.2021,223.74
17.11.2021,230.52
18.11.2021,224.78
19.11.2021,228.54
20.11.2021,254.07
21.11.2021,229.23
22.11.2021,224.95
23.11.2021,379.93
24.11.2021,237.14
25.11.2021,285.61
26.11.2021,259.06
27.11.2021,208.22
28.11.2021,190.48
29.11.2021,180.35
30.11.2021,209.25
01.12.2021,219.42
02.12.2021,232.96
03.12.2021,224.38
04.12.2021,189.66
05.12.2021,148.7
06.12.2021,118.77
07.12.2021,196.5
08.12.2021,204.42
09.12.2021,186.08
10.12.2021,177.34
11.12.2021,189.89
12.12.2021,189.16
13.12.2021,208.98
14.12.2021,323.62
15.12.2021,265.99
16.12.2021,286.58
17.12.2021,255.76
18.12.2021,175.04
19.12.2021,147.88
20.12.2021,122.21
21.12.2021,128.34
22.12.2021,123.64
23.12.2021,113.5
24.12.2021,99.96
25.12.2021,83.23
26.12.2021,114.01
27.12.2021,131.72
28.12.2021,201.82
29.12.2021,156.86
30.12.2021,152.42
31.12.2021,147.86
